FID,省份,贫困县名,X,Y,地址类型,脱贫时间
456,青海,天峻县,99.02175187,37.30041574,区县,2018年9月29日正式退出
457,青海,同德县,100.5777778,35.25458324,区县,2017年11月1日正式退出
458,青海,同仁县,102.0171029,35.51610469,区县,2020年4月21日正式退出
459,青海,乌兰县,98.47958598,36.92976597,区县,2018年9月29日正式退出
460,青海,兴海县,99.98656377,35.58908911,区县,2019年5月15日正式退出
461,青海,循化县,102.4871854,35.85066277,区县,2018年9月29日正式退出
462,青海,玉树市,97.00835987,32.99594073,区县,2019年5月15日正式退出
463,青海,杂多县,95.2993801,32.89531479,区县,2020年4月21日正式退出
464,青海,泽库县,101.4649875,35.03712626,区县,2020年4月21日正式退出
465,青海,治多县,95.61252293,33.85385014,区县,2020年4月21日正式退出
466,山西,保德县,111.0794686,39.02142619,区县,2019年4月18日正式退出
467,山西,大宁县,110.7473094,36.46496863,区县,2020年2月27日正式退出
468,山西,代县,112.9534059,39.06615297,区县,2020年2月27日正式退出
